date,open,high,low,close,volume,sentiment,predicted_close
2024-01-01,,,,,,,573.9431548131947
2024-01-02,525.15,533.95,519.1,523.25,1123066.0,,570.6587779544781
2024-01-03,525.0,525.0,515.0,518.6,1011777.0,,570.4793994624707
2024-01-04,538.0,544.5,525.0,544.5,4044997.0,,575.3684220031207
2024-01-05,548.0,561.45,537.3,558.55,3611727.0,,574.6700661976771
2024-01-06,564.7,565.0,546.1,551.1,1411436.0,,571.1235801877639
2024-01-07,564.7,565.0,546.1,551.1,1411436.0,,571.1235801877639
2024-01-08,564.7,565.0,546.1,551.1,1411436.0,,571.1235801877639
2024-01-09,553.95,553.95,540.0,541.7,975444.0,,570.4208369922346
2024-01-10,545.0,553.5,535.0,539.75,1213712.0,,570.8048835245388
2024-01-11,544.5,549.6,535.0,542.3,1024874.0,,570.500509546215
2024-01-12,547.7,547.7,539.1,540.15,781046.0,,570.1075012619358
2024-01-13,546.0,546.8,540.0,541.15,711519.0,,569.9954358429474
2024-01-14,546.0,546.8,540.0,541.15,711519.0,,569.9954358429474
2024-01-15,546.0,546.8,540.0,541.15,711519.0,,569.9954358429474
2024-01-16,546.8,547.0,540.0,541.15,1077632.0,,570.5855462567733
2024-01-17,540.0,540.0,529.0,532.3,1055123.0,,570.5492656677071
2024-01-18,529.45,529.9,506.1,521.45,1806770.0,,571.760789766062
2024-01-19,521.45,530.25,509.0,523.55,1384253.0,,571.0797659244653
2024-01-20,529.0,549.0,514.4,516.75,6070841.0,,578.6337298211623
2024-01-21,529.0,549.0,514.4,516.75,6070841.0,,578.6337298211623
2024-01-22,529.0,549.0,514.4,516.75,6070841.0,,578.6337298211623
2024-01-23,529.0,549.0,514.4,516.75,6070841.0,,578.6337298211623
2024-01-24,543.95,555.0,515.0,517.55,1439117.0,,571.1681971403581
2024-01-25,522.8,526.05,512.0,519.95,42152346.0,,636.7908339038117
2024-01-26,522.4,545.0,521.0,543.3,2175726.0,,572.3554826009067
2024-01-27,522.4,545.0,521.0,543.3,2175726.0,,572.3554826009067
2024-01-28,522.4,545.0,521.0,543.3,2175726.0,,572.3554826009067
2024-01-29,522.4,545.0,521.0,543.3,2175726.0,,572.3554826009067
2024-01-30,570.0,570.45,552.5,570.45,5730005.0,,578.0843615304796
2024-01-31,575.0,579.8,547.0,558.3,2962115.0,,573.623004754499
2024-02-01,558.5,570.3,558.0,562.7,1915616.0,,571.9362305674082
2024-02-02,568.0,569.0,556.8,564.35,1377239.0,,571.0684605776391
2024-02-03,567.0,568.0,555.5,559.4,2001145.0,,572.0740884243653
2024-02-04,567.0,568.0,555.5,559.4,2001145.0,,572.0740884243653
2024-02-05,567.0,568.0,555.5,559.4,2001145.0,,572.0740884243653
2024-02-06,564.7,565.0,545.0,546.3,1576938.0,,571.3903405970063
2024-02-07,554.9,554.9,545.0,549.7,1145839.0,,570.6954840655804
2024-02-08,552.0,574.8,548.0,569.7,2785795.0,,573.3388076127264
2024-02-09,572.0,578.8,561.0,563.7,2214893.0,,572.4186129857287
2024-02-10,569.0,577.45,554.0,569.5,1327795.0,,570.9887654580962
2024-02-11,569.0,577.45,554.0,569.5,1327795.0,,570.9887654580962
2024-02-12,569.0,577.45,554.0,569.5,1327795.0,,570.9887654580962
2024-02-13,575.0,584.95,556.0,561.85,1542575.0,,571.3349534237831
2024-02-14,565.0,568.0,533.75,562.1,1671207.0,,571.542285812284
2024-02-15,552.0,570.0,537.0,563.9,1268142.0,,570.8926152079932
2024-02-16,568.0,569.0,558.8,561.85,658997.0,,569.9107795233003
2024-02-17,562.0,566.9,555.0,563.75,1015079.0,,570.4847217115754
2024-02-18,562.0,566.9,555.0,563.75,1015079.0,,570.4847217115754
2024-02-19,562.0,566.9,555.0,563.75,1015079.0,,570.4847217115754
2024-02-20,572.0,576.4,563.75,567.65,974361.0,,570.4190913847906
2024-02-21,570.0,570.85,551.95,553.65,1193009.0,,570.7715138930386
2024-02-22,555.0,560.0,535.0,540.75,1263043.0,,570.8843965077556
2024-02-23,546.5,567.0,517.3,562.25,1193558.0,,570.7723987854548
2024-02-24,562.0,566.0,555.1,559.05,801799.0,,570.1409514847307
2024-02-25,562.0,566.0,555.1,559.05,801799.0,,570.1409514847307
2024-02-26,562.0,566.0,555.1,559.05,801799.0,,570.1409514847307
2024-02-27,559.45,575.0,556.0,570.45,2002057.0,,572.0755584095813
